# Решения: одно решение — одна строка, с якорем в обеих половинах.
#
# Засеяно scripts/seed-facts-decisions.py, проверяется
# scripts/check-facts-decisions.sh: дата в реестре обязана совпасть с
# датой на обеих строках-якорях, а якорь — существовать.
#
# Строки, которые скрипт сопоставить не смог, в реестр НЕ попадают:
# угаданная пара хуже отсутствующей.
#
id	date	ru	en	subject_ru	subject_en
protocol.2026-09-16.69	2026-09-16	xor.ad/docs/protocol_RU.md:126	xor.ad/docs/protocol_EN.md:134	Восемь областей внесены в контракт 16.09.2026 — §4.6–4.12 ниже.	The eight areas entered the contract on 2026-09-16 — §4.6–4.12 below.
protocol.2026-09-16.146	2026-09-16	xor.ad/docs/protocol_RU.md:219	xor.ad/docs/protocol_EN.md:230	Кадры сокета — только от узла к клиенту; действия человека идут подписанными запросами — решено 16.09.2026	Socket frames flow from the node to the client only; a person's actions travel as signed requests — decided 2026-09-16
protocol.2026-09-16.311	2026-09-16	xor.ad/docs/protocol_RU.md:451	xor.ad/docs/protocol_EN.md:462	Форма ошибки — решено 16.09.2026:	The error shape — decided 2026-09-16:
chat.2026-09-16.668	2026-09-16	xor.ad/docs/chat_RU.md:696	xor.ad/docs/chat_EN.md:702	идут подписанными запросами, а не кадрами; решено 16.09.2026	travel as signed requests, not frames; decided 2026-09-16
chat.2026-09-17.1022	2026-09-17	xor.ad/docs/chat_RU.md:1037	xor.ad/docs/chat_EN.md:1050	DDL — 17.09.2026 (проход 4)	DDL on 2026-09-17 (pass 4)
chat.2026-09-18.871	2026-09-18	xor.ad/docs/chat_RU.md:878	xor.ad/docs/chat_EN.md:887	Уход снимает и поставленные лайки — решение владельца 18.09.2026:	Stepping away also removes the likes given — the owner's decision of 2
chat.2026-09-18.677	2026-09-18	xor.ad/docs/chat_RU.md:677	xor.ad/docs/chat_EN.md:682	Первый круг за свежим столом открывает кнопка «начать игру» — решение 	The first round at a fresh table is opened by a "start the game" butto
design-system-app.2026-09-18.motion	2026-09-18	xor.ad/docs/design-system-app_RU.md	xor.ad/docs/design-system-app_EN.md	Едет только то, что случилось — решение владельца 18.09.2026:	Only what happened moves — the owner's decision of 2026-09-18:
design-system-app.2026-09-18.typography	2026-09-18	xor.ad/docs/design-system-app_RU.md	xor.ad/docs/design-system-app_EN.md	Шесть ступеней и два веса — решение владельца 18.09.2026:	Six steps and two weights — the owner's decision of 2026-09-18:
design-system-app.2026-09-18.surfaces	2026-09-18	xor.ad/docs/design-system-app_RU.md	xor.ad/docs/design-system-app_EN.md	Карточка — заливкой, поле — рамкой; решение владельца 18.09.2026.	A card by fill, a field by border; the owner's decision of 2026-09-18.
design-system-app.2026-09-18.signs	2026-09-18	xor.ad/docs/design-system-app_RU.md	xor.ad/docs/design-system-app_EN.md	Три знака в форме — решение кворума линз 18.09.2026	Three signs in form — the lens quorum's decision of 2026-09-18
design-system-app.2026-09-18.empty-nav	2026-09-18	xor.ad/docs/design-system-app_RU.md	xor.ad/docs/design-system-app_EN.md	Пустые состояния, шапка и таббар — решение кворума линз 18.09.2026, второй круг	Empty states, the header and the tab bar — the lens quorum's decision of 2026-09-18, second round
chat.2026-09-18.waiting	2026-09-18	xor.ad/docs/chat_RU.md	xor.ad/docs/chat_EN.md	Беседа открывается у первого нажавшего сразу и ждёт второго — решение владельца 18.09.2026:	The conversation opens for the first to press at once and waits for the second — the owner's decision of 2026-09-18:
sosed-step-away.2026-09-18.default	2026-09-18	sosed.place/docs/20-step-away_RU.md:12	sosed.place/docs/20-step-away_EN.md:12	Срок не предвыбран — решение владельца 18.09.2026.	No duration is preselected — the owner's decision of 2026-09-18.
neighbro-step-away.2026-09-18.default	2026-09-18	neighbro.place/docs/20-step-away_RU.md:12	neighbro.place/docs/20-step-away_EN.md:12	Срок не предвыбран — решение владельца 18.09.2026.	No duration is preselected — the owner's decision of 2026-09-18.
design-system-app.2026-09-18.spark	2026-09-18	xor.ad/docs/design-system-app_RU.md:156	xor.ad/docs/design-system-app_EN.md:164	Огонёк — решение владельца 18.09.2026.	Spark — the owner's decision of 2026-09-18.
design-system-app.2026-09-20.brands	2026-09-20	xor.ad/docs/design-system-app_RU.md:352	xor.ad/docs/design-system-app_EN.md:368	Одна механика, один кит, два узнаваемых лица — ночной бриф 20.09.2026 по просьбе владельца	One mechanic, one kit, two recognisable faces — the night brief of 2026-09-20 at the owner's
chat.2026-09-20.contrast	2026-09-20	xor.ad/docs/chat_RU.md	xor.ad/docs/chat_EN.md	стояло 'max', а доступность и контракт API зовут её 'maximum'	was 'max', while accessibility and the API canon both say 'maximum'
chat.2026-09-20.accents	2026-09-20	xor.ad/docs/chat_RU.md	xor.ad/docs/chat_EN.md	'gold', 'crimson' и 'teal' — имена токенов категорий --cat-*, а не акцентов	'gold', 'crimson' and 'teal' are names of the category tokens --cat-*, not accents
chat.2026-09-20.filterage	2026-09-20	xor.ad/docs/chat_RU.md	xor.ad/docs/chat_EN.md	любое целое внутри полосы (17.09.2026; внесены в CREATE 20.09.2026)	any integer inside the band (2026-09-17; moved into CREATE on 2026-09-20)
chat.2026-09-20.noncesize	2026-09-20	xor.ad/docs/chat_RU.md	xor.ad/docs/chat_EN.md	20.09.2026: стояло pg_column_size — она STABLE, а не IMMUTABLE	2026-09-20: was pg_column_size, which is STABLE rather than IMMUTABLE
chat.2026-09-20.indexname	2026-09-20	xor.ad/docs/chat_RU.md	xor.ad/docs/chat_EN.md	имя дано 20.09.2026: безымянный индекс отказывает в переносе сообщением, которое человек не прочтёт	named 2026-09-20: an anonymous index refuses a transfer with a message no person can read
chat.2026-09-20.signupmark	2026-09-20	xor.ad/docs/chat_RU.md	xor.ad/docs/chat_EN.md	Заведена 20.09.2026 по панели ревью: пометка была обещана абзацем ниже и не имела носителя	Added 2026-09-20 after the review panel: the mark was promised by the paragraph below and had no carrier
chat.2026-09-20.firstpin	2026-09-20	xor.ad/docs/chat_RU.md	xor.ad/docs/chat_EN.md	расходуется самим POST /vault/init тем же UPDATE … WHERE first_pin_grant_at > now() - interval '1 hour' RETURNING	spent by POST /vault/init itself with the same UPDATE … WHERE first_pin_grant_at > now() - interval '1 hour' RETURNING
chat.2026-09-21.densitywindow	2026-09-21	xor.ad/docs/chat_RU.md:1810	xor.ad/docs/chat_EN.md:1843	окно — час, решение владельца 21.09.2026	owner's decision of 2026-09-21 — this said
chat.2026-09-22.nameverdict	2026-09-22	xor.ad/docs/chat_RU.md:867	xor.ad/docs/chat_EN.md:876	Один вердикт на оба — решение владельца 22.09.2026	One verdict for both — the owner's decision of 2026-09-22
chat.2026-09-22.firstname	2026-09-22	xor.ad/docs/chat_RU.md:867	xor.ad/docs/chat_EN.md:876	Имя при регистрации принимается сразу, в очередь идёт каждая смена — решение владельца 22.09.2026	The name is accepted at registration, and every change goes to the queue — the owner's decision of 2026-09-22
depth.2026-09-23.step7	2026-09-23	xor.ad/docs/roadmap_RU.md:160	xor.ad/docs/roadmap_EN.md:171	в ленте «скрыть» и «заблокировать», экран скрытого с возвратом	"hide" and "block" in the feed, the hidden list with a way back
ci.2026-09-24.database-suites	2026-09-24	xor.ad/docs/roadmap_RU.md:63	xor.ad/docs/roadmap_EN.md:68	10 наборов, 276 тестов	9 of the 10 ran only locally
protocol.2026-09-24.slot503	2026-09-24	xor.ad/docs/protocol_RU.md:483	xor.ad/docs/protocol_EN.md:497	сам ответил 503 — решение владельца 24.09.2026	back when the node itself answered 503 — the owner's decision of 2026-09-24
chat.2026-09-24.queueaway	2026-09-24	xor.ad/docs/chat_RU.md:886	xor.ad/docs/chat_EN.md:895	действует и в отлучку, решение владельца 24.09.2026	holds during a time away too, the owner's decision of 2026-09-24
